Date,Open,High,Low,Close,Volume,DateGroup,Rate_To_PreviousDay,Bull_Bear
2022/12/22 15:16,114.42,114.42,114.42,114.42,0,202212,0.001487965,2
2022/12/23 15:16,114.57,114.57,114.57,114.57,0,202212,0.00131096,2
2022/12/27 15:16,113.44,113.44,113.44,113.44,0,202212,-0.009862966,1
2022/12/28 15:16,112.03,112.03,112.03,112.03,0,202212,-0.012429478,1
2022/12/29 15:16,113.27,113.27,113.27,113.27,0,202212,0.011068464,2
2022/12/30 15:16,113.57,113.57,113.57,113.57,0,202212,0.002648539,2
2023/1/3 15:16,112.74,112.74,112.74,112.74,0,202301,-0.007308268,1
2023/1/4 15:16,112.14,112.14,112.14,112.14,0,202301,-0.00532198,1
2023/1/5 15:16,112.67,112.67,112.67,112.67,0,202301,0.004726235,2
2023/1/6 15:16,113.86,113.86,113.86,113.86,0,202301,0.010561818,2
2023/1/9 15:16,114.42,114.42,114.42,114.42,0,202301,0.004918321,2
2023/1/10 15:16,114.65,114.65,114.65,114.65,0,202301,0.002010138,2
2023/1/11 15:16,115.1,115.1,115.1,115.1,0,202301,0.003924989,2
2023/1/12 15:16,117.39,117.39,117.39,117.39,0,202301,0.019895743,2
2023/1/13 15:16,121.7,121.7,121.7,121.7,0,202301,0.036715223,3
2023/1/17 15:16,120.01,120.01,120.01,120.01,0,202301,-0.013886606,1
2023/1/18 15:16,119.91,119.91,119.91,119.91,0,202301,-0.000833264,1
2023/1/19 15:16,121.23,121.23,121.23,121.23,0,202301,0.011008256,2
2023/1/20 15:16,120.19,120.19,120.19,120.19,0,202301,-0.008578735,1
2023/1/23 15:16,120.91,120.91,120.91,120.91,0,202301,0.005990515,2
2023/1/24 15:16,121.34,121.34,121.34,121.34,0,202301,0.003556364,2
2023/1/25 15:16,121.04,121.04,121.04,121.04,0,202301,-0.002472392,1
2023/1/26 15:16,121.49,121.49,121.49,121.49,0,202301,0.003717779,2
2023/1/27 15:16,121.97,121.97,121.97,121.97,0,202301,0.003950942,2
2023/1/30 15:16,120.69,120.69,120.69,120.69,0,202301,-0.010494384,1
2023/1/31 15:16,123.29,123.29,123.29,123.29,0,202301,0.021542796,2
2023/2/1 15:16,122.19,122.19,122.19,122.19,0,202302,-0.008922054,1
2023/2/2 15:16,123.88,123.88,123.88,123.88,0,202302,0.013830919,2
2023/2/3 15:16,123.08,123.08,123.08,123.08,0,202302,-0.006457862,1
2023/2/6 15:16,123.01,123.01,123.01,123.01,0,202302,-0.000568736,1
2023/2/7 15:16,123.36,123.36,123.36,123.36,0,202302,0.002845297,2
2023/2/8 15:16,121.52,121.52,121.52,121.52,0,202302,-0.014915694,1
2023/2/9 15:16,120.58,120.58,120.58,120.58,0,202302,-0.007735352,1
2023/2/10 15:16,120.88,120.88,120.88,120.88,0,202302,0.002487975,2
2023/2/13 15:16,122.48,122.48,122.48,122.48,0,202302,0.013236267,2
2023/2/14 15:16,121.27,121.27,121.27,121.27,0,202302,-0.009879164,1
2023/2/15 15:16,121.36,121.36,121.36,121.36,0,202302,0.000742146,2
2023/2/16 15:16,123.09,123.09,123.09,123.09,0,202302,0.014255109,2
2023/2/17 15:16,122.89,122.89,122.89,122.89,0,202302,-0.001624827,1
2023/2/21 15:16,124.09,124.09,124.09,124.09,0,202302,0.00976483,2
2023/2/22 15:16,122.81,122.81,122.81,122.81,0,202302,-0.010315094,1
2023/2/23 15:16,121.85,121.85,121.85,121.85,0,202302,-0.007816953,1
2023/2/24 15:16,121.22,121.22,121.22,121.22,0,202302,-0.005170291,1
2023/2/27 15:16,120.54,120.54,120.54,120.54,0,202302,-0.005609635,1
2023/2/28 15:16,120.01,120.01,120.01,120.01,0,202302,-0.004396881,1
2023/3/1 15:16,118.89,118.89,118.89,118.89,0,202303,-0.009332556,1
2023/3/2 15:16,117.58,117.58,117.58,117.58,0,202303,-0.011018589,1
2023/3/3 15:16,118.14,118.14,118.14,118.14,0,202303,0.004762715,2
2023/3/6 15:16,120.19,120.19,120.19,120.19,0,202303,0.017352294,2
2023/3/7 15:16,120.56,120.56,120.56,120.56,0,202303,0.003078459,2
2023/3/8 15:16,119.32,119.32,119.32,119.32,0,202303,-0.010285335,1
2023/3/9 15:16,122.22,122.22,122.22,122.22,0,202303,0.024304392,2
2023/3/10 15:16,130.27,130.27,130.27,130.27,0,202303,0.065864834,3
2023/3/13 15:16,132.14,132.14,132.14,132.14,0,202303,0.014354802,2
2023/3/14 15:16,132.72,132.72,132.72,132.72,0,202303,0.004389284,2
2023/3/15 15:16,136.62,136.62,136.62,136.62,0,202303,0.029385172,3
2023/3/16 15:16,134.53,134.53,134.53,134.53,0,202303,-0.015297907,1
2023/3/17 15:16,131.34,131.34,131.34,131.34,0,202303,-0.023712183,1
2023/3/20 15:16,129.91,129.91,129.91,129.91,0,202303,-0.010887772,1
2023/3/21 15:16,127.46,127.46,127.46,127.46,0,202303,-0.01885921,1
2023/3/22 15:16,123.16,123.16,123.16,123.16,0,202303,-0.033736074,0
2023/3/23 15:16,125.5,125.5,125.5,125.5,0,202303,0.018999675,2
2023/3/24 15:16,126.88,126.88,126.88,126.88,0,202303,0.010996016,2
2023/3/27 15:16,126,126,126,126,0,202303,-0.006935687,1
