Date,DateGroup,Open,High,Low,Close,Adj Close,Volume,CloseRate_to_PreviousDay,Bull_Bear
2023/12/20,202312,49.654999,49.999001,48.098,48.111,48.10479,397894000,-0.0179 ,0
2023/12/21,202312,48.811001,49.095001,48.418999,48.990002,48.983681,300425000,0.0033 ,3
2023/12/22,202312,49.195,49.382999,48.466999,48.830002,48.823704,252507000,-0.0091 ,1
2023/12/26,202312,48.967999,49.599998,48.959999,49.278999,49.27264,244200000,-0.0028 ,1
2023/12/27,202312,49.511002,49.68,49.084999,49.417,49.410622,233648000,-0.0021 ,1
2023/12/28,202312,49.643002,49.883999,49.411999,49.521999,49.51561,246587000,0.0000 ,3
2023/12/29,202312,49.813,49.997002,48.750999,49.521999,49.51561,389293000,0.0281 ,4
2024/1/2,202401,49.243999,49.294998,47.595001,48.167999,48.161785,411254000,0.0126 ,4
2024/1/3,202401,47.485001,48.183998,47.32,47.569,47.562862,320896000,-0.0089 ,1
2024/1/4,202401,47.766998,48.5,47.507999,47.998001,47.99181,306535000,-0.0224 ,0
2024/1/5,202401,48.462002,49.547001,48.306,49.097,49.090664,415039000,-0.0604 ,0
2024/1/8,202401,49.512001,52.275002,49.479,52.252998,52.246258,642510000,-0.0167 ,0
2024/1/9,202401,52.401001,54.325001,51.689999,53.139999,53.133144,773100000,-0.0223 ,0
2024/1/10,202401,53.616001,54.599998,53.488998,54.349998,54.342987,533796000,-0.0086 ,1
2024/1/11,202401,54.999001,55.346001,53.560001,54.821999,54.814926,596759000,0.0020 ,3
2024/1/12,202401,54.619999,54.970001,54.330002,54.709999,54.702938,352994000,-0.0297 ,0
2024/1/16,202401,55.018002,56.834999,54.900002,56.382,56.374725,449580000,0.0059 ,3
2024/1/17,202401,56.347,56.471001,54.740002,56.053001,56.045769,474394000,-0.0185 ,0
2024/1/18,202401,57.259998,57.599998,56.106998,57.106998,57.099628,491650000,-0.0401 ,0
2024/1/19,202401,57.988998,59.5,57.224998,59.491001,59.483326,543501000,-0.0027 ,1
2024/1/22,202401,60.049,60.331001,59.07,59.653999,59.646305,452955000,-0.0037 ,1
2024/1/23,202401,59.57,59.91,58.584999,59.873001,59.865276,294654000,-0.0243 ,0
2024/1/24,202401,60.304001,62.848999,59.938,61.362,61.354084,560271000,-0.0041 ,1
2024/1/25,202401,62.349998,62.719002,60.849998,61.617001,61.609047,482777000,0.0096 ,3
